,Neighborhood,ZipCode,New Cases (2012),New Rate (2012),EIBLL Cases (2010-2012),EIBLL Rate (2010-2012),Past Rate (2009),Past EIBLL Rate (2009)
0,BX1,10463,6,1.5,6,0.5,2.3,0.26
1,BX1,10471,6,1.5,6,0.5,2.3,0.26
2,BX2,10466,20,2.5,29,1.12,2.6,1.27
3,BX2,10469,20,2.5,29,1.12,2.6,1.27
4,BX2,10470,20,2.5,29,1.12,2.6,1.27
5,BX2,10475,20,2.5,29,1.12,2.6,1.27
6,BX2,10803,20,2.5,29,1.12,2.6,1.27
7,BX3,10458,40,2.6,56,1.13,4.1,1.83
8,BX3,10467,40,2.6,56,1.13,4.1,1.83
9,BX3,10468,40,2.6,56,1.13,4.1,1.83
10,BX4,10461,22,1.5,36,0.8,2.7,0.93
11,BX4,10462,22,1.5,36,0.8,2.7,0.93
12,BX4,10464,22,1.5,36,0.8,2.7,0.93
13,BX4,10465,22,1.5,36,0.8,2.7,0.93
14,BX4,10472,22,1.5,36,0.8,2.7,0.93
15,BX4,10473,22,1.5,36,0.8,2.7,0.93
16,BX5,10453,27,1.9,32,0.74,3.5,0.88
17,BX5,10457,27,1.9,32,0.74,3.5,0.88
18,BX5,10460,27,1.9,32,0.74,3.5,0.88
19,BX6,10451,46,3.1,48,1.04,3.7,1.16
20,BX6,10452,46,3.1,48,1.04,3.7,1.16
21,BX6,10456,46,3.1,48,1.04,3.7,1.16
22,BX7,10454,17,1.7,32,1.04,3,0.97
23,BX7,10455,17,1.7,32,1.04,3,0.97
24,BX7,10459,17,1.7,32,1.04,3,0.97
25,BX7,10474,17,1.7,32,1.04,3,0.97
26,BK1,11211,61,11.4,32,1.94,12.7,2.67
27,BK1,11222,61,11.4,32,1.94,12.7,2.67
28,BK2,11206,41,2.5,52,1.03,4.3,1.34
29,BK2,11221,41,2.5,52,1.03,4.3,1.34
30,BK2,11237,41,2.5,52,1.03,4.3,1.34
31,BK3,11201,25,2.9,24,0.88,3.7,1.4
32,BK3,11202,25,2.9,24,0.88,3.7,1.4
33,BK3,11205,25,2.9,24,0.88,3.7,1.4
34,BK3,11215,25,2.9,24,0.88,3.7,1.4
35,BK3,11217,25,2.9,24,0.88,3.7,1.4
36,BK3,11231,25,2.9,24,0.88,3.7,1.4
37,BK3,11251,25,2.9,24,0.88,3.7,1.4
38,BK4,11212,57,3,61,1.01,3.4,1.09
39,BK4,11213,57,3,61,1.01,3.4,1.09
40,BK4,11216,57,3,61,1.01,3.4,1.09
41,BK4,11233,57,3,61,1.01,3.4,1.09
42,BK4,11238,57,3,61,1.01,3.4,1.09
43,BK5,11207,28,2.1,43,1.01,2.9,1.1
44,BK5,11208,28,2.1,43,1.01,2.9,1.1
45,BK6,11220,18,1.5,30,0.86,4.1,1.33
46,BK6,11232,18,1.5,30,0.86,4.1,1.33
47,BK7,11204,102,5.1,99,1.66,7.7,2.73
48,BK7,11218,102,5.1,99,1.66,7.7,2.73
49,BK7,11219,102,5.1,99,1.66,7.7,2.73
50,BK7,11230,102,5.1,99,1.66,7.7,2.73
51,BK8,11203,33,2,64,1.23,4.7,1.49
52,BK8,11210,33,2,64,1.23,4.7,1.49
53,BK8,11225,33,2,64,1.23,4.7,1.49
54,BK8,11226,33,2,64,1.23,4.7,1.49
55,BK9,11234,20,2.2,12,0.41,2.4,0.41
56,BK9,11236,20,2.2,12,0.41,2.4,0.41
57,BK9,11239,20,2.2,12,0.41,2.4,0.41
58,BK10,11209,31,3.6,27,1.05,3.2,1.75
59,BK10,11214,31,3.6,27,1.05,3.2,1.75
60,BK10,11228,31,3.6,27,1.05,3.2,1.75
61,BK10,11252,31,3.6,27,1.05,3.2,1.75
62,BK11,11223,47,3.7,51,1.34,7.5,1.83
63,BK11,11224,47,3.7,51,1.34,7.5,1.83
64,BK11,11229,47,3.7,51,1.34,7.5,1.83
65,BK11,11235,47,3.7,51,1.34,7.5,1.83
66,M1,10031,25,1.8,41,0.96,2.8,0.89
67,M1,10032,25,1.8,41,0.96,2.8,0.89
68,M1,10033,25,1.8,41,0.96,2.8,0.89
69,M1,10034,25,1.8,41,0.96,2.8,0.89
70,M1,10040,25,1.8,41,0.96,2.8,0.89
71,M2,10026,13,1.8,11,0.49,4.4,0.77
72,M2,10027,13,1.8,11,0.49,4.4,0.77
73,M2,10030,13,1.8,11,0.49,4.4,0.77
74,M2,10037,13,1.8,11,0.49,4.4,0.77
75,M2,10039,13,1.8,11,0.49,4.4,0.77
76,M3,10029,6,1.2,12,0.78,4.6,1.09
77,M3,10035,6,1.2,12,0.78,4.6,1.09
78,M4,10023,16,3.1,11,0.67,5.2,0.17
79,M4,10024,16,3.1,11,0.67,5.2,0.17
80,M4,10025,16,3.1,11,0.67,5.2,0.17
81,M4,10069,16,3.1,11,0.67,5.2,0.17
82,M5,10021,7,1.4,7,0.46,2.5,0.22
83,M5,10028,7,1.4,7,0.46,2.5,0.22
84,M5,10044,7,1.4,7,0.46,2.5,0.22
85,M5,10128,7,1.4,7,0.46,2.5,0.22
86,M5,10162,7,1.4,7,0.46,2.5,0.22
87,M5,10075,7,1.4,7,0.46,2.5,0.22
88,M5,10065,7,1.4,7,0.46,2.5,0.22
89,M6,10001,7,3,5,0.7,2.9,0.41
90,M6,10011,7,3,5,0.7,2.9,0.41
91,M6,10018,7,3,5,0.7,2.9,0.41
92,M6,10019,7,3,5,0.7,2.9,0.41
93,M6,10020,7,3,5,0.7,2.9,0.41
94,M6,10036,7,3,5,0.7,2.9,0.41
95,M7,10010,5,2.3,4,0.6,5.7,0.47
96,M7,10016,5,2.3,4,0.6,5.7,0.47
97,M7,10017,5,2.3,4,0.6,5.7,0.47
98,M7,10022,5,2.3,4,0.6,5.7,0.47
99,M8,10012,5,2.8,3,0.54,7.8,0.6
100,M8,10013,5,2.8,3,0.54,7.8,0.6
101,M8,10014,5,2.8,3,0.54,7.8,0.6
102,M9,10002,12,2.2,8,0.46,3.5,0.47
103,M9,10003,12,2.2,8,0.46,3.5,0.47
104,M9,10009,12,2.2,8,0.46,3.5,0.47
105,M10,10004,1,0.6,3,0.57,2.2,0
106,M10,10005,1,0.6,3,0.57,2.2,0
107,M10,10006,1,0.6,3,0.57,2.2,0
108,M10,10007,1,0.6,3,0.57,2.2,0
109,M10,10038,1,0.6,3,0.57,2.2,0
110,M10,10048,1,0.6,3,0.57,2.2,0
111,M10,10280,1,0.6,3,0.57,2.2,0
112,M10,10281,1,0.6,3,0.57,2.2,0
113,M10,10282,1,0.6,3,0.57,2.2,0
114,Q1,11101,17,2,28,1.12,3.7,1.51
115,Q1,11102,17,2,28,1.12,3.7,1.51
116,Q1,11103,17,2,28,1.12,3.7,1.51
117,Q1,11104,17,2,28,1.12,3.7,1.51
118,Q1,11105,17,2,28,1.12,3.7,1.51
119,Q1,11106,17,2,28,1.12,3.7,1.51
120,Q1,11109,17,2,28,1.12,3.7,1.51
121,Q2,11368,75,2.5,140,1.58,4.6,1.6
122,Q2,11369,75,2.5,140,1.58,4.6,1.6
123,Q2,11370,75,2.5,140,1.58,4.6,1.6
124,Q2,11371,75,2.5,140,1.58,4.6,1.6
125,Q2,11372,75,2.5,140,1.58,4.6,1.6
126,Q2,11373,75,2.5,140,1.58,4.6,1.6
127,Q2,11377,75,2.5,140,1.58,4.6,1.6
128,Q2,11378,75,2.5,140,1.58,4.6,1.6
129,Q3,11351,21,2.1,20,0.68,2.5,1.08
130,Q3,11352,21,2.1,20,0.68,2.5,1.08
131,Q3,11354,21,2.1,20,0.68,2.5,1.08
132,Q3,11355,21,2.1,20,0.68,2.5,1.08
133,Q3,11356,21,2.1,20,0.68,2.5,1.08
134,Q3,11357,21,2.1,20,0.68,2.5,1.08
135,Q3,11358,21,2.1,20,0.68,2.5,1.08
136,Q3,11359,21,2.1,20,0.68,2.5,1.08
137,Q3,11360,21,2.1,20,0.68,2.5,1.08
138,Q4,11361,3,1.2,2,0.26,3.3,0.82
139,Q4,11362,3,1.2,2,0.26,3.3,0.82
140,Q4,11363,3,1.2,2,0.26,3.3,0.82
141,Q4,11364,3,1.2,2,0.26,3.3,0.82
142,Q5,11374,25,2,34,0.9,3.7,0.95
143,Q5,11375,25,2,34,0.9,3.7,0.95
144,Q5,11379,25,2,34,0.9,3.7,0.95
145,Q5,11385,25,2,34,0.9,3.7,0.95
146,Q6,11365,11,2.4,4,0.29,1.8,0.23
147,Q6,11366,11,2.4,4,0.29,1.8,0.23
148,Q6,11367,11,2.4,4,0.29,1.8,0.23
149,Q7,11414,39,2.8,71,1.62,4.3,1.66
150,Q7,11415,39,2.8,71,1.62,4.3,1.66
151,Q7,11416,39,2.8,71,1.62,4.3,1.66
152,Q7,11417,39,2.8,71,1.62,4.3,1.66
153,Q7,11418,39,2.8,71,1.62,4.3,1.66
154,Q7,11419,39,2.8,71,1.62,4.3,1.66
155,Q7,11420,39,2.8,71,1.62,4.3,1.66
156,Q7,11421,39,2.8,71,1.62,4.3,1.66
157,Q7,11430,39,2.8,71,1.62,4.3,1.66
158,Q8,11412,39,2.3,64,1.22,3.6,1.13
159,Q8,11423,39,2.3,64,1.22,3.6,1.13
160,Q8,11424,39,2.3,64,1.22,3.6,1.13
161,Q8,11425,39,2.3,64,1.22,3.6,1.13
162,Q8,11431,39,2.3,64,1.22,3.6,1.13
163,Q8,11432,39,2.3,64,1.22,3.6,1.13
164,Q8,11433,39,2.3,64,1.22,3.6,1.13
165,Q8,11434,39,2.3,64,1.22,3.6,1.13
166,Q8,11435,39,2.3,64,1.22,3.6,1.13
167,Q8,11436,39,2.3,64,1.22,3.6,1.13
168,Q9,11001,21,2.8,18,0.75,3.3,1.21
169,Q9,11004,21,2.8,18,0.75,3.3,1.21
170,Q9,11005,21,2.8,18,0.75,3.3,1.21
171,Q9,11040,21,2.8,18,0.75,3.3,1.21
172,Q9,11411,21,2.8,18,0.75,3.3,1.21
173,Q9,11413,21,2.8,18,0.75,3.3,1.21
174,Q9,11422,21,2.8,18,0.75,3.3,1.21
175,Q9,11426,21,2.8,18,0.75,3.3,1.21
176,Q9,11427,21,2.8,18,0.75,3.3,1.21
177,Q9,11428,21,2.8,18,0.75,3.3,1.21
178,Q9,11429,21,2.8,18,0.75,3.3,1.21
179,Q10,11691,13,2.1,11,0.57,2.6,1.12
180,Q10,11692,13,2.1,11,0.57,2.6,1.12
181,Q10,11693,13,2.1,11,0.57,2.6,1.12
182,Q10,11694,13,2.1,11,0.57,2.6,1.12
183,Q10,11695,13,2.1,11,0.57,2.6,1.12
184,Q10,11697,13,2.1,11,0.57,2.6,1.12
185,S1,10302,16,4,13,1.03,4.6,1.94
186,S1,10303,16,4,13,1.03,4.6,1.94
187,S1,10310,16,4,13,1.03,4.6,1.94
188,S2,10301,18,3.1,15,0.85,3.1,1.55
189,S2,10304,18,3.1,15,0.85,3.1,1.55
190,S2,10305,18,3.1,15,0.85,3.1,1.55
191,S3,10313,7,2.5,4,0.46,4,1.01
192,S3,10314,7,2.5,4,0.46,4,1.01
193,S4,10306,1,0.2,5,0.33,1.8,0.55
194,S4,10307,1,0.2,5,0.33,1.8,0.55
195,S4,10308,1,0.2,5,0.33,1.8,0.55
196,S4,10309,1,0.2,5,0.33,1.8,0.55
197,S4,10312,1,0.2,5,0.33,1.8,0.55