esriid,pctHHInc0,pctHHInc10,pctHHInc15,pctHHInc25,pctHHInc35,pctHHInc50,pctHHInc75,pctHHInc100,pctHHInc150,pctHHInc200,pctNumHHEarnings,pctNumHHPubAssist,pctNumHHFoodStmp,MedianHHInc,AvgHHInc,pctFamHHs,pctFamHHInc0,pctFamHHInc10,pctFamHHInc15,pctFamHHInc25,pctFamHHInc35,pctFamHHInc50,pctFamHHInc75,pctFamHHInc100,pctFamHHInc150,pctFamHHInc200,MedianFamInc,AvgFamInc,PCI,pctFullTimeWorkersMale,pctFullTimeWorkersFemale,MedianEarningsMale,MedianEarningsFemale,pctPoor,pctPoorUnder18,pctPoor18to64,pctPoorOver65,LaborForce,pctOwnKidsU6AllPrntsWk,pctOwnKidsO6AllPrntsWk,pctNotInsuredUnder65,pctNotInsuredUnder18
  ,pctHHInc0,pctHHInc10,pctHHInc15,pctHHInc25,pctHHInc35,pctHHInc50,pctHHInc75,pctHHInc100,pctHHInc150,pctHHInc200,pctNumHHEarnings ,pctNumHHPubAssist ,pctNumHHFoodStmp ,Median household income ,Mean household income ,pctFamHHs ,pctFamHHInc0,pctFamHHInc10,pctFamHHInc15,pctFamHHInc25,pctFamHHInc35,pctFamHHInc50,pctFamHHInc75,pctFamHHInc100,pctFamHHInc150,pctFamHHInc200,Median family income ,Mean family income ,Per-capita income ,pctFullTimeWorkersMale ,pctFullTimeWorkersFemale ,Median earnings for male full-time year-round workers ,Median earnings for female full-time year-round workers ,pctPoor ,pctPoorUnder18,pctPoor18to64,pctPoorOver65,In labor force ,pctOwnKidsU6AllPrntsWk,pctOwnKidsO6AllPrntsWk,pctNotInsuredUnder65,pctNotInsuredUnder18
10001,8.00,4.10,8.80,5.30,10.70,9.50,11.20,12.30,9.60,20.50,80.50,2.00,9.80,81445.00,151316.00,30.00,3.30,3.10,11.40,2.20,8.70,11.10,17.40,8.50,8.60,25.60,90456.00,174333.00,77512.00,61.30,38.70,98297.00,75766.00,19.00,51.20,13.90,19.70,14547.00,48.00,33.70,9.60,0.10
10002,15.70,11.20,15.70,9.20,9.90,13.80,6.90,9.20,2.90,5.40,67.70,5.60,30.60,32966.00,60564.00,53.60,9.70,11.20,16.50,12.50,13.00,15.30,7.60,7.70,2.30,4.20,35062.00,58384.00,26905.00,54.80,45.20,49462.00,40836.00,27.50,35.70,24.30,32.70,38947.00,68.20,68.80,13.40,3.00
10003,6.40,2.10,6.80,4.90,6.80,12.60,11.50,15.80,12.00,21.00,84.70,0.70,3.40,97524.00,156983.00,26.80,2.60,1.50,3.00,3.50,5.40,8.90,11.40,15.10,14.30,34.30,145411.00,235158.00,79088.00,53.60,46.40,103524.00,79587.00,10.20,6.50,10.60,9.80,37390.00,61.20,57.90,7.30,3.40
10004,2.10,1.30,3.90,4.60,4.50,6.30,13.00,22.20,10.30,31.80,90.00,0.00,0.00,123409.00,181042.00,33.60,2.60,0.00,0.00,3.00,0.80,0.00,0.00,19.40,10.40,63.80,242625.00,297990.00,98020.00,53.90,46.10,103365.00,108980.00,8.60,17.20,7.40,2.00,2273.00,83.90,88.00,8.60,3.20
10005,7.60,0.80,3.70,1.70,2.00,10.80,12.50,19.50,13.50,27.90,92.50,0.00,0.00,121840.00,175864.00,25.80,0.20,0.00,0.90,0.00,0.00,2.10,11.90,22.70,14.20,47.90,196776.00,294371.00,99633.00,51.50,48.50,109536.00,71419.00,10.30,1.50,11.20,0.00,6024.00,92.90,62.40,7.60,0.00
10006,6.60,4.50,0.90,1.10,4.60,10.40,10.00,25.00,7.90,28.70,96.10,1.60,0.00,121316.00,161202.00,27.00,3.10,0.00,0.00,0.00,0.00,4.40,3.10,34.40,8.30,46.70,177300.00,213649.00,97226.00,53.30,46.70,104659.00,92273.00,8.30,0.00,9.40,,2367.00,50.70,100.00,6.00,0.00
10007,2.70,0.60,0.60,0.90,3.60,8.70,4.80,6.10,15.50,56.40,94.90,0.00,1.10,250001.00,430777.00,51.40,2.10,0.00,1.20,1.70,2.70,3.70,1.80,2.40,10.00,74.40,250001.00,582466.00,173257.00,61.40,38.60,250001.00,153533.00,3.00,1.00,3.20,11.00,3924.00,55.30,76.90,3.10,0.00
10009,11.30,7.50,9.50,7.20,8.90,12.80,12.30,14.60,7.10,8.80,76.20,4.00,16.60,61154.00,86010.00,37.90,6.40,6.60,10.40,9.90,10.50,11.50,8.40,13.90,7.90,14.40,62253.00,104943.00,44714.00,51.80,48.20,65833.00,61738.00,20.80,30.80,18.80,23.80,37023.00,72.40,65.40,12.70,5.50
10010,7.70,4.10,5.10,4.20,5.60,12.60,10.20,16.20,9.40,24.90,80.90,2.30,5.30,100763.00,150684.00,28.60,2.90,2.10,1.70,1.60,5.60,8.20,9.50,14.50,13.70,40.10,162550.00,220565.00,81938.00,50.50,49.50,113595.00,88867.00,13.50,8.60,14.30,11.80,20062.00,65.80,81.00,6.10,0.40
10011,4.40,3.30,6.20,5.40,7.80,10.50,8.40,17.00,10.80,26.20,84.50,1.30,4.50,104974.00,193307.00,28.60,2.00,1.10,4.20,3.00,7.10,7.90,7.10,11.40,14.40,42.00,169389.00,304041.00,111064.00,57.00,43.00,107875.00,90874.00,8.80,9.80,8.90,7.90,36785.00,71.90,77.40,6.80,3.40
10012,7.10,2.30,5.30,6.30,8.00,11.70,10.70,15.90,12.40,20.40,86.20,0.80,5.00,95577.00,141594.00,26.70,4.10,1.80,2.80,5.50,4.80,9.50,6.60,13.70,15.70,35.50,153155.00,209948.00,77712.00,57.70,42.30,96898.00,70353.00,10.30,5.90,10.10,14.40,16986.00,39.40,65.50,7.30,1.20
10013,9.70,4.70,9.60,4.50,5.90,9.80,6.00,13.80,7.60,28.40,82.50,1.70,12.90,97228.00,220757.00,49.50,6.20,3.50,10.00,4.00,6.50,7.30,4.20,14.00,5.00,39.30,122472.00,283860.00,96781.00,54.60,45.40,104294.00,77289.00,13.50,13.20,10.80,26.60,15092.00,56.30,52.40,7.20,4.60
10014,3.70,2.80,4.40,4.30,6.00,13.80,12.00,14.00,10.20,28.70,86.80,0.70,2.90,109557.00,175237.00,25.70,1.40,1.20,1.90,2.30,2.30,11.00,6.40,11.80,14.30,47.50,184965.00,274457.00,107342.00,53.00,47.00,122386.00,89094.00,6.70,3.60,7.00,6.40,23208.00,59.40,62.70,5.40,1.30
10016,6.40,3.40,4.80,4.10,7.60,11.10,10.60,19.30,10.70,22.00,82.70,1.00,4.20,103960.00,152088.00,27.40,2.00,3.10,3.10,3.30,4.70,6.10,4.40,21.00,11.50,40.80,160700.00,238619.00,87576.00,50.00,50.00,103154.00,84049.00,10.70,6.30,10.70,13.80,34254.00,70.30,65.50,6.20,1.00
10017,5.80,1.40,6.20,2.90,6.10,13.70,13.30,17.90,8.90,23.80,85.90,0.60,1.70,102165.00,161962.00,26.40,3.70,1.90,0.40,1.00,2.90,5.50,6.50,19.70,12.10,46.20,183750.00,250868.00,104324.00,49.30,50.70,103617.00,73207.00,7.20,8.20,7.40,5.80,12353.00,81.00,47.40,4.90,5.50
10018,6.60,4.20,5.20,5.70,5.50,11.40,11.20,16.10,12.90,21.30,89.40,1.60,5.50,100298.00,141782.00,23.00,3.90,1.50,5.50,10.20,4.00,12.70,8.70,9.90,11.20,32.60,112969.00,175192.00,76632.00,58.80,41.20,91625.00,82371.00,15.30,21.60,14.70,16.00,5890.00,58.70,68.40,10.20,0.00
10019,6.90,5.20,6.20,6.20,7.30,12.50,10.60,15.40,9.30,20.40,81.80,1.80,7.60,90174.00,137685.00,25.90,4.40,3.50,4.40,3.90,8.40,7.20,9.10,13.40,9.30,36.40,129315.00,205116.00,86447.00,54.60,45.40,103559.00,80721.00,11.80,8.10,10.80,18.80,26749.00,50.50,74.70,9.00,1.70
10020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
10021,5.40,3.50,3.80,4.40,8.20,11.70,9.10,13.70,10.10,30.10,82.40,1.10,2.20,109398.00,204533.00,38.00,2.20,0.60,1.70,1.70,3.00,5.70,6.50,11.50,14.70,52.40,215357.00,331252.00,115478.00,48.30,51.70,104224.00,81812.00,7.70,5.80,8.30,7.10,25369.00,34.80,47.00,5.10,2.70
10022,4.60,1.80,5.90,3.40,6.60,10.70,10.20,17.10,8.80,31.00,78.10,1.10,1.60,115604.00,221140.00,33.90,1.70,0.20,2.00,0.30,4.30,6.40,3.70,14.40,8.80,58.00,240000.00,381352.00,132596.00,51.10,48.90,130785.00,87314.00,5.10,1.20,5.70,4.90,19305.00,56.20,63.20,4.60,0.00
10023,6.50,3.10,5.60,4.10,6.50,9.40,10.00,16.00,11.30,27.60,80.00,1.40,2.80,111265.00,185157.00,38.40,3.00,0.70,3.50,2.90,1.90,6.00,6.60,18.30,10.30,47.00,187288.00,284709.00,99916.00,57.80,42.20,122766.00,92385.00,8.10,3.90,8.50,10.00,37012.00,51.50,64.40,5.70,1.20
10024,5.90,3.60,4.90,4.80,7.60,11.30,8.50,14.90,10.20,28.30,83.20,1.10,4.70,109784.00,195208.00,44.90,2.20,1.60,2.90,2.50,4.70,6.00,6.90,14.60,14.10,44.50,174393.00,291530.00,97669.00,51.70,48.30,106859.00,81819.00,7.20,3.10,7.70,9.10,35692.00,67.10,58.70,7.80,2.30
10025,10.60,5.10,8.10,7.50,8.30,11.80,9.70,13.80,8.20,16.80,77.10,2.30,10.90,71865.00,120674.00,43.60,6.10,3.20,6.20,6.90,7.60,6.70,7.70,15.10,11.00,29.50,116002.00,175239.00,56151.00,50.80,49.20,96066.00,71199.00,17.00,14.20,17.90,15.80,54166.00,58.50,70.90,9.60,2.10
10026,14.50,7.30,10.20,9.10,11.30,15.60,7.30,11.40,6.30,7.00,77.20,4.30,18.70,47318.00,76406.00,52.90,10.80,6.60,9.50,10.20,12.40,13.60,7.50,13.10,5.80,10.50,51133.00,88835.00,30904.00,46.50,53.50,54273.00,46268.00,28.70,35.20,26.50,31.40,18580.00,47.50,65.70,12.10,2.00
10027,19.70,6.30,10.70,8.80,11.70,12.80,9.20,9.30,4.70,6.70,70.60,5.20,15.40,40013.00,70220.00,51.20,15.20,5.20,9.30,9.10,13.90,12.80,9.20,10.70,5.30,9.30,47383.00,82930.00,27977.00,51.50,48.50,51069.00,43005.00,30.20,41.00,28.40,21.90,28463.00,61.30,63.50,12.10,3.80
10028,3.00,3.30,6.70,3.70,3.90,11.40,11.20,17.80,9.90,29.20,85.50,1.00,2.40,115485.00,203702.00,42.00,1.30,0.20,3.30,1.90,2.20,4.90,6.00,17.10,9.30,53.90,207409.00,338446.00,111660.00,51.20,48.80,121908.00,81036.00,5.40,4.00,6.10,4.10,30367.00,60.90,55.90,7.60,5.90
10029,18.00,11.10,14.00,11.00,12.10,13.10,6.10,7.30,2.80,4.50,68.80,8.20,31.50,31446.00,60941.00,55.70,13.50,6.90,14.50,14.30,14.50,14.20,6.70,7.60,2.60,5.20,35715.00,68592.00,25577.00,52.50,47.50,41695.00,38795.00,30.10,41.90,26.20,30.40,35989.00,64.70,62.50,17.40,7.10
10030,20.20,9.20,12.80,11.90,11.10,16.30,4.90,7.00,3.20,3.50,72.00,6.80,31.50,32561.00,52572.00,47.00,15.30,5.90,12.10,12.40,14.10,20.70,4.60,7.10,3.50,4.30,38402.00,59422.00,23064.00,44.50,55.50,41495.00,43048.00,30.90,31.70,29.40,40.40,15129.00,85.40,80.00,20.40,8.40
10031,15.80,8.10,11.50,11.70,13.90,14.80,9.70,8.70,2.70,3.10,78.50,4.60,32.90,38338.00,56188.00,51.50,10.90,7.20,12.50,14.60,15.80,15.90,5.80,10.00,3.60,3.60,39400.00,61424.00,22954.00,53.60,46.40,36329.00,40334.00,27.60,37.00,24.60,32.00,32326.00,61.20,68.20,20.20,7.80
10032,14.20,9.30,13.30,12.20,13.50,16.90,10.10,7.00,1.80,1.70,74.60,5.40,38.40,35979.00,49670.00,53.50,8.60,7.00,15.40,12.50,18.60,17.00,10.30,7.60,1.70,1.40,39805.00,52276.00,19137.00,57.40,42.60,32142.00,36502.00,28.40,37.40,26.40,26.70,31036.00,63.70,70.50,20.60,3.10
10033,11.10,7.90,12.90,10.90,10.80,16.30,10.50,10.80,3.90,4.90,80.30,3.50,33.40,44595.00,65125.00,61.00,6.00,7.90,14.50,11.90,11.00,19.50,9.60,9.60,4.40,5.70,48197.00,68712.00,23976.00,61.10,38.90,36606.00,38014.00,24.10,32.00,21.80,25.80,34486.00,61.90,73.30,17.40,2.90
10034,10.50,7.30,14.20,11.70,12.40,15.40,13.50,9.50,3.90,1.70,81.20,3.90,35.20,42522.00,58725.00,59.30,8.40,6.80,17.60,11.60,14.40,14.10,12.00,8.80,4.60,1.90,40852.00,59249.00,22776.00,58.50,41.50,34561.00,38947.00,25.90,35.80,22.40,31.60,24333.00,70.70,77.70,19.50,6.10
10035,23.40,12.10,11.90,9.70,12.70,12.00,6.90,5.50,3.40,2.60,62.70,7.10,27.70,26764.00,46813.00,49.80,16.20,7.60,12.90,11.50,14.40,15.00,6.80,7.60,5.60,2.30,36300.00,53948.00,19691.00,53.90,46.10,37524.00,45154.00,38.90,45.60,35.90,45.50,14600.00,52.00,59.30,18.10,2.70
10036,8.00,6.50,7.40,9.70,9.00,11.40,8.90,15.80,6.90,16.50,81.50,1.90,10.80,70625.00,113730.00,20.60,3.10,0.30,4.00,8.90,8.90,11.80,11.80,15.90,9.80,25.50,103778.00,161019.00,72435.00,61.00,39.00,100313.00,69102.00,12.00,9.90,11.30,19.30,18166.00,81.60,79.10,12.50,12.00
10037,12.10,10.90,15.00,10.70,13.20,18.20,11.60,4.70,1.80,1.70,68.40,3.40,24.90,37000.00,48731.00,39.20,12.20,6.30,13.10,17.10,14.60,14.00,11.70,4.60,2.70,3.80,37021.00,55526.00,25736.00,44.40,55.60,50698.00,48440.00,27.90,54.20,21.80,20.40,8567.00,58.00,52.70,11.30,0.40
10038,11.30,7.00,9.60,5.40,7.10,10.10,11.50,12.70,8.10,17.30,76.90,4.00,14.20,73988.00,121805.00,43.40,5.60,6.40,10.80,5.70,8.80,10.30,12.00,14.90,8.80,16.70,79210.00,121417.00,59309.00,57.50,42.50,94358.00,65345.00,19.90,27.00,16.80,30.20,12206.00,81.80,73.30,9.50,3.60
10039,17.00,9.40,12.70,13.30,14.20,16.10,8.90,4.50,1.70,2.20,71.60,9.70,36.10,33132.00,46959.00,53.50,11.30,7.40,16.70,14.10,16.60,17.70,7.50,4.00,2.30,2.20,35345.00,48705.00,20185.00,48.10,51.90,39697.00,42306.00,30.20,40.40,27.60,21.80,12606.00,64.50,76.10,14.40,2.60
10040,11.00,5.30,12.60,10.40,13.50,18.50,12.70,10.00,2.50,3.60,82.70,2.90,33.90,46944.00,62395.00,56.90,6.30,3.90,15.50,11.40,15.10,18.30,11.70,10.30,2.90,4.60,48158.00,66878.00,24468.00,52.50,47.50,37019.00,38679.00,19.90,29.00,17.20,22.90,25559.00,72.10,75.10,16.10,4.10
10044,9.50,2.60,3.20,4.90,5.60,16.10,10.60,23.00,8.00,16.40,86.00,1.90,12.20,95259.00,112172.00,51.40,3.90,0.20,3.50,0.70,6.90,14.50,12.20,27.00,13.50,17.70,117917.00,134678.00,46709.00,48.90,51.10,99821.00,61140.00,11.30,2.50,12.80,13.60,6270.00,60.10,70.20,8.80,1.40
10065,5.30,0.80,5.70,4.90,6.00,12.60,10.30,15.10,9.20,30.10,81.50,0.80,1.50,110163.00,202954.00,38.80,0.40,0.00,1.10,2.70,2.50,6.50,6.00,17.20,11.70,52.00,208172.00,342864.00,113444.00,47.10,52.90,116458.00,79666.00,5.80,0.20,6.90,6.10,20029.00,65.30,67.10,4.30,2.10
10069,5.90,0.90,4.30,2.60,3.10,0.90,5.50,14.40,20.20,42.20,91.00,0.90,1.80,172926.00,231506.00,50.30,1.10,0.00,0.00,0.00,0.00,0.00,0.00,19.00,15.40,64.50,237060.00,307765.00,118923.00,51.30,48.70,175665.00,92917.00,5.50,0.00,6.30,10.80,3834.00,61.60,73.20,3.70,0.00
10075,5.50,1.70,5.20,4.20,5.80,12.90,12.70,14.30,7.20,30.40,83.80,0.60,3.80,104583.00,200745.00,41.30,1.80,0.20,3.90,0.90,2.20,9.10,10.20,13.60,10.00,48.00,185182.00,303302.00,113485.00,43.40,56.60,130701.00,82069.00,9.00,11.50,7.20,13.70,15505.00,56.80,58.60,4.80,0.70
10103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
10110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,100.00,,,0.00,,0.00,,1.00,,,0.00,
10111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
10112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
10115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
10119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
10128,5.60,1.90,5.90,5.20,7.60,12.00,11.50,17.20,8.10,25.10,81.80,0.70,6.20,100649.00,176612.00,43.10,3.10,0.90,3.60,3.30,5.50,5.30,7.60,16.90,9.40,44.60,167098.00,279250.00,91988.00,48.20,51.80,106307.00,75833.00,7.70,5.50,7.30,11.90,38867.00,67.50,62.50,5.60,1.80
10152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
10153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
10154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
10162,0.00,0.00,2.10,4.70,2.30,0.00,15.80,13.60,22.70,38.80,80.00,0.00,0.00,193238.00,203197.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,23.40,22.50,48.20,189796.00,263080.00,107132.00,66.10,33.90,193417.00,77531.00,0.00,0.00,0.00,0.00,711.00,100.00,100.00,13.70,18.50
10165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
10167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
10168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
10169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
10170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
10171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
10172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
10173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
10174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
10177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
10199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
10271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
10278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
10279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
10280,3.70,0.40,2.20,3.30,5.80,8.10,8.10,22.20,13.70,32.50,92.60,0.40,0.70,143636.00,182441.00,48.40,0.00,0.90,3.60,2.80,3.90,5.00,3.80,16.90,14.60,48.50,191591.00,226678.00,90980.00,52.70,47.30,107353.00,91507.00,5.50,4.10,6.20,2.00,6099.00,71.70,60.90,4.50,4.00
10282,2.70,0.60,0.80,1.20,0.70,8.20,7.90,8.30,8.30,61.40,87.60,0.40,1.40,245556.00,316718.00,61.00,1.10,0.00,1.40,0.50,1.10,3.70,3.20,4.10,11.20,73.70,250001.00,340201.00,138381.00,53.30,46.70,210515.00,136332.00,2.40,1.10,1.20,21.90,3319.00,48.30,70.40,1.10,0.00
10301,10.60,4.60,10.20,7.50,10.10,16.80,13.40,15.30,6.30,5.40,76.60,6.00,19.50,60278.00,76813.00,61.80,10.50,2.00,8.00,6.80,9.30,16.80,13.30,17.70,8.50,7.10,67500.00,88394.00,28054.00,57.40,42.60,53437.00,52930.00,20.80,32.60,17.00,15.10,18161.00,53.40,50.70,10.60,2.60
10302,14.20,4.60,10.40,8.20,10.40,13.20,14.80,13.20,7.20,3.70,70.80,7.90,21.90,54150.00,68842.00,69.80,13.10,1.90,6.60,7.10,10.20,15.20,16.00,15.30,9.80,4.90,66800.00,79738.00,23165.00,59.50,40.50,46802.00,43695.00,25.60,37.30,21.80,21.00,8056.00,41.40,54.60,14.80,5.00
10303,16.10,6.10,8.90,7.20,9.60,15.00,13.40,15.20,4.60,3.90,72.90,9.40,26.70,52826.00,67301.00,78.30,12.80,5.40,7.70,6.40,10.00,17.00,14.00,16.40,5.40,4.80,60884.00,74320.00,22593.00,52.30,47.70,52859.00,43871.00,23.60,31.30,21.10,16.90,10569.00,53.50,63.00,12.00,1.30
10304,10.60,4.40,9.80,9.20,14.10,15.20,9.50,15.30,5.50,6.40,76.80,5.80,22.40,53762.00,79892.00,71.70,7.70,3.80,9.40,9.10,14.00,13.60,8.80,18.20,7.00,8.30,60010.00,91471.00,27811.00,55.60,44.40,51137.00,44821.00,20.40,28.20,17.90,17.40,19113.00,48.50,68.90,14.10,4.00
10305,5.70,4.50,8.80,9.10,10.10,14.70,14.80,19.20,8.70,4.50,76.00,3.00,13.80,70763.00,83184.00,70.40,3.60,1.80,5.60,8.30,10.00,16.20,15.20,23.10,11.20,5.00,79966.00,93537.00,30178.00,58.20,41.80,60443.00,47926.00,11.10,14.50,10.10,10.50,19748.00,58.40,67.50,10.00,3.30
10306,5.00,3.30,8.30,8.00,9.70,13.70,12.40,20.80,11.80,7.10,73.30,2.50,8.80,79152.00,94614.00,72.50,2.90,1.80,3.90,6.80,10.00,13.20,13.10,25.00,14.30,9.10,96414.00,109036.00,35187.00,57.70,42.30,70800.00,52560.00,6.70,7.10,6.70,6.20,26392.00,69.60,66.20,6.40,2.80
10307,2.40,6.00,8.10,4.50,7.90,13.90,14.20,21.60,9.70,11.60,77.50,1.00,5.30,86688.00,104973.00,80.20,0.40,3.30,5.70,3.80,7.40,13.30,16.10,24.20,12.10,13.60,98750.00,118350.00,34894.00,61.30,38.70,74063.00,52340.00,6.30,8.00,5.50,6.50,6916.00,47.60,56.90,6.70,2.70
10308,3.50,2.80,7.40,5.70,7.40,16.80,14.80,20.90,12.90,7.80,78.00,1.40,5.70,85814.00,101261.00,76.20,2.10,1.20,5.50,3.90,6.20,18.50,15.90,22.60,14.40,9.80,95985.00,112902.00,36756.00,53.60,46.40,71952.00,53375.00,7.30,9.90,6.60,6.90,15063.00,66.60,61.00,5.90,1.20
