esriid,TotHUs,pctOccHUs,pctOwnerOcc,pctRenterOcc,AvgOwnerHHSize,AvgRenterHHSize,pctVacantForSale,pctVacantForRent,pctUnits20up,pctBuilt1990_1999,pctBuilt1980_1989,pctBuilt1970_1979,pctBuilt1960_1969,pctBuilt1950_1959,pctBuilt1940_1949,pctBuiltBefore1940,pctPersonsPerRoomLow,pctPersonsPerRoomMedium,pctPersonsPerRoomHigh,MedianHValue,MedianGrossRent
11101,12364.00,93.00,17.10,82.90,2.10,2.15,4.80,17.00,58.30,1.40,1.90,2.20,4.60,8.00,20.70,39.60,92.90,3.80,3.20,712100.00,1215.00
11102,15210.00,91.00,13.80,86.20,2.70,2.48,2.10,34.70,41.40,4.70,2.90,7.70,11.30,13.10,10.20,35.00,91.30,5.90,2.80,602900.00,1464.00
11103,17929.00,91.20,15.40,84.60,2.89,2.23,1.90,42.00,22.40,1.70,2.40,4.60,8.30,12.60,19.00,46.40,93.70,4.30,2.00,652300.00,1452.00
11104,12422.00,92.70,15.20,84.80,2.45,2.28,1.10,33.10,60.50,0.60,1.90,2.90,3.60,12.60,22.70,54.10,87.50,9.10,3.50,419400.00,1386.00
11105,16972.00,91.70,26.10,73.90,2.82,2.20,0.00,29.20,14.60,2.50,2.40,3.40,11.00,16.70,19.70,41.30,94.30,3.10,2.60,657800.00,1487.00
11106,18362.00,92.60,16.70,83.30,2.48,2.21,3.60,20.90,46.50,3.50,2.10,6.20,11.40,20.60,18.30,32.30,92.60,4.30,3.10,411200.00,1347.00
11109,2714.00,89.10,17.50,82.50,1.65,1.82,0.00,41.20,98.00,16.40,0.50,0.00,0.00,0.00,0.00,0.40,98.70,0.00,1.30,442300.00,2001.00
11201,28401.00,87.60,36.80,63.20,2.20,1.93,10.80,6.70,61.70,1.40,1.60,3.30,6.30,13.70,6.00,49.20,94.90,2.50,2.70,714700.00,1902.00
11203,29705.00,91.40,40.10,59.90,3.17,2.50,3.20,9.20,22.70,2.30,1.60,2.80,6.60,12.00,16.60,54.90,91.90,5.50,2.60,420600.00,1158.00
11204,26658.00,93.30,38.20,61.80,3.52,3.04,10.10,30.20,17.80,2.10,1.90,4.70,7.40,7.10,11.20,62.30,86.40,10.40,3.20,660800.00,1205.00
11205,16925.00,89.20,22.20,77.80,2.85,2.64,1.20,12.40,44.70,2.10,1.50,3.50,7.90,9.40,12.90,49.50,90.60,6.80,2.50,621400.00,1182.00
11206,31582.00,91.80,11.40,88.60,3.53,2.77,1.80,29.20,44.40,6.20,3.20,6.60,15.70,13.00,6.80,31.50,86.90,8.50,4.50,527800.00,893.00
11207,34841.00,90.80,23.10,76.90,3.17,2.81,6.40,46.40,23.40,6.70,5.00,6.00,14.80,13.00,6.90,37.20,90.60,6.90,2.40,400600.00,1054.00
11208,34968.00,83.00,24.60,75.40,3.46,3.05,6.00,40.80,18.80,5.90,4.60,7.60,10.50,12.50,7.90,39.50,79.40,14.80,5.80,423100.00,1137.00
11209,33408.00,92.50,34.60,65.40,2.59,2.21,7.60,25.00,45.20,1.20,3.10,4.00,6.50,12.30,11.90,58.10,91.20,4.80,4.00,629200.00,1330.00
11210,23509.00,93.20,45.70,54.30,3.51,2.67,13.70,34.20,41.50,0.80,0.70,2.10,11.30,17.70,13.90,51.20,90.50,5.80,3.70,480500.00,1130.00
11211,39015.00,93.40,15.80,84.20,2.68,2.56,9.50,18.60,40.90,4.20,2.90,6.20,7.30,6.00,4.20,51.10,89.20,7.20,3.60,674900.00,1337.00
11212,33532.00,91.50,14.70,85.30,3.10,2.66,2.80,32.30,43.10,2.50,7.50,9.10,19.70,10.80,6.90,39.80,91.50,5.70,2.80,383200.00,936.00
11213,26184.00,90.40,15.10,84.90,3.51,2.46,6.20,36.10,44.30,2.70,3.30,4.10,5.40,8.10,6.50,65.00,90.40,6.70,2.90,599600.00,1064.00
11214,33251.00,94.20,34.20,65.80,3.07,2.64,14.90,26.40,29.30,3.30,2.70,6.10,12.40,13.20,14.50,43.20,88.90,7.90,3.30,616600.00,1163.00
11215,31230.00,92.80,37.20,62.80,2.80,2.17,7.60,13.50,14.40,1.00,2.30,2.40,3.00,3.50,3.80,75.90,95.90,2.60,1.50,937700.00,1860.00
11216,26889.00,86.30,21.30,78.70,2.77,2.19,5.40,27.20,18.60,2.10,2.10,4.30,4.70,4.70,5.10,71.80,93.40,2.30,4.30,646600.00,1146.00
11217,18371.00,90.90,29.60,70.40,2.52,2.13,7.00,22.20,29.70,2.50,2.10,2.50,3.40,7.30,6.40,66.20,95.20,2.40,2.40,890100.00,1735.00
11218,26201.00,94.80,33.40,66.60,3.04,2.97,11.60,31.00,44.40,1.50,2.20,3.90,14.60,12.40,10.80,51.40,85.10,10.10,4.80,571800.00,1375.00
11219,28511.00,93.30,24.80,75.20,3.66,3.68,7.90,30.70,21.90,3.60,4.60,4.30,5.70,5.70,7.60,62.30,75.50,15.50,9.00,746900.00,1209.00
11220,31950.00,92.70,24.20,75.80,3.49,3.40,8.00,38.90,15.00,1.80,2.70,5.20,4.50,4.50,8.20,68.90,75.80,15.30,8.90,617000.00,1184.00
11221,32935.00,87.40,20.70,79.30,3.41,2.73,10.10,40.40,16.30,5.60,4.00,4.90,3.50,2.60,4.10,66.60,89.70,6.30,4.00,541100.00,1135.00
11222,18614.00,89.50,20.80,79.20,2.36,1.99,7.20,23.90,8.20,2.60,1.80,2.00,8.30,8.60,6.90,61.50,96.30,2.10,1.60,702800.00,1565.00
11223,29833.00,91.50,37.60,62.40,3.27,2.52,11.30,25.60,31.60,1.20,1.50,2.50,9.20,15.90,12.50,52.80,90.80,6.50,2.70,612400.00,1120.00
11224,19979.00,90.90,29.80,70.20,2.40,2.22,9.60,35.30,77.00,4.20,6.00,19.50,39.40,12.00,5.00,12.30,95.80,3.20,0.90,320100.00,732.00
11225,24416.00,93.30,14.50,85.50,3.31,2.49,10.60,53.30,62.80,1.20,1.90,4.70,10.00,8.10,11.30,61.30,89.60,6.30,4.10,616600.00,1183.00
11226,39474.00,91.20,13.00,87.00,3.34,2.61,6.40,52.20,65.40,0.70,1.20,3.00,5.90,7.80,6.20,73.70,86.70,7.90,5.40,485900.00,1164.00
11228,16525.00,92.20,57.10,42.90,3.21,2.75,8.30,15.70,4.00,2.00,1.80,3.70,5.50,9.90,13.50,60.50,91.20,6.90,1.90,690600.00,1287.00
11229,33099.00,93.60,45.70,54.30,3.00,2.29,8.40,25.00,41.00,1.70,1.70,3.30,11.70,18.50,17.30,43.00,93.70,4.10,2.20,514300.00,1131.00
11230,32186.00,93.90,28.40,71.60,3.41,2.64,5.90,29.60,56.80,2.10,2.40,4.20,11.70,15.10,13.90,47.50,86.50,8.40,5.10,629700.00,1229.00
11231,16516.00,92.50,26.20,73.80,2.58,2.15,9.30,30.00,24.50,2.50,4.50,3.10,2.80,9.80,6.30,65.60,96.40,2.10,1.50,939100.00,1629.00
11232,9447.00,92.10,23.00,77.00,2.84,3.21,1.90,31.20,19.40,1.30,3.20,3.80,7.00,6.90,5.00,67.90,81.80,11.90,6.30,549000.00,1335.00
11233,30293.00,87.20,22.60,77.40,3.09,2.45,5.80,37.80,23.40,5.70,2.70,4.50,10.10,6.70,5.50,53.60,93.20,4.40,2.40,547500.00,1053.00
11234,34479.00,93.70,67.10,32.90,3.14,2.58,15.10,20.30,9.20,2.00,2.90,6.10,18.20,23.00,17.40,27.20,92.70,5.00,2.30,488400.00,1277.00
11235,35549.00,90.30,40.20,59.80,2.50,2.20,19.30,26.60,54.50,1.80,2.20,6.20,19.00,19.40,15.60,29.30,90.10,5.90,4.00,525600.00,1136.00
11236,33997.00,93.90,48.30,51.70,3.33,2.71,11.60,22.90,8.80,1.60,2.50,5.40,47.10,22.30,6.10,13.10,89.20,4.90,5.90,467500.00,1260.00
11237,17909.00,93.20,9.20,90.80,3.37,3.24,2.20,64.30,7.80,2.70,3.00,2.30,4.30,5.10,6.30,71.50,80.80,14.20,5.00,496100.00,1299.00
11238,25653.00,89.40,28.20,71.80,2.52,2.08,6.60,47.90,42.10,2.80,1.40,4.10,7.50,4.60,6.30,66.30,96.10,2.10,1.80,676800.00,1446.00
11239,6501.00,97.80,3.00,97.00,2.73,2.00,0.00,59.60,88.60,4.50,6.30,61.90,15.40,2.70,2.60,3.70,94.30,2.80,2.90,369600.00,915.00
11351,0.00,,,,,,,,,,,,,,,,,,,,
11354,21689.00,90.80,40.60,59.40,2.82,2.73,19.30,24.50,57.50,3.40,7.00,12.60,17.20,23.50,10.70,17.70,89.50,6.40,4.10,400000.00,1346.00
11355,29980.00,92.90,32.40,67.60,3.26,2.86,16.40,22.70,54.80,5.60,7.60,8.10,19.70,22.70,12.20,16.70,83.80,9.60,6.60,494900.00,1286.00
11356,8228.00,91.70,48.60,51.40,3.05,3.24,17.40,27.10,1.50,3.60,12.90,3.30,13.30,14.60,6.10,31.00,91.50,7.30,1.10,550100.00,1501.00
11357,16083.00,94.10,74.10,25.90,2.70,2.57,15.20,15.50,11.50,2.50,2.40,8.50,14.60,37.20,12.40,18.00,97.70,1.90,0.40,600800.00,1579.00
11358,14117.00,93.20,56.70,43.30,3.03,2.63,6.30,36.30,8.20,1.90,3.90,4.30,9.30,21.40,16.30,36.60,94.80,4.00,1.20,627600.00,1482.00
11359,0.00,,,,,,,,,,,,,,,,,,,,
11360,9162.00,93.60,68.60,31.40,2.29,2.37,4.90,9.30,42.20,1.30,19.80,18.20,23.70,23.90,4.70,6.50,97.40,2.50,0.10,517300.00,1966.00
11361,11329.00,94.40,58.10,41.90,2.88,2.66,9.60,27.70,9.60,4.00,3.00,8.80,16.10,24.50,13.10,27.20,97.00,1.90,1.10,577500.00,1654.00
11362,7273.00,95.90,79.10,20.90,2.51,2.62,9.70,14.30,9.70,3.70,4.60,10.60,17.80,37.50,10.50,8.90,96.80,2.30,0.80,539700.00,1660.00
11363,2822.00,91.70,69.50,30.50,2.90,3.05,12.40,9.40,15.10,1.80,2.60,8.50,17.20,14.00,8.50,44.90,96.10,3.40,0.60,698400.00,1665.00
11364,13728.00,96.40,74.20,25.80,2.65,2.58,2.40,6.50,17.20,1.70,2.20,5.50,14.20,42.00,21.90,10.20,97.10,2.50,0.40,515100.00,1534.00
11365,16051.00,95.80,48.50,51.50,3.00,2.62,1.20,37.20,25.40,2.10,4.00,4.70,12.90,37.10,23.20,9.70,92.00,6.70,1.30,579800.00,1373.00
11366,4689.00,91.90,71.60,28.40,2.97,3.08,8.40,16.90,2.30,1.30,4.20,1.40,7.50,32.70,28.80,18.40,95.20,3.00,1.80,624600.00,1547.00
11367,15699.00,92.90,45.90,54.10,2.90,2.70,7.10,28.40,21.50,1.10,3.50,5.80,14.10,39.30,26.40,6.30,90.20,6.80,2.90,379000.00,1220.00
11368,31120.00,93.30,20.70,79.30,3.59,3.83,7.70,26.90,27.90,5.10,5.40,7.00,18.40,20.20,13.80,20.60,73.70,16.00,10.30,461500.00,1410.00
11369,12603.00,92.10,47.40,52.60,3.47,3.26,9.90,21.90,14.40,1.30,3.20,4.00,11.60,32.90,20.00,22.50,85.40,10.70,3.90,455500.00,1355.00
11370,9805.00,88.20,45.60,54.40,3.37,3.08,5.00,31.10,3.80,1.00,6.30,6.90,13.60,33.70,22.10,13.80,87.70,7.60,4.70,504400.00,1513.00
11371,0.00,,,,,,,,,,,,,,,,,,,,
11372,25899.00,94.00,30.50,69.50,2.33,2.69,7.10,22.70,71.80,0.90,1.70,2.50,8.40,24.50,23.50,38.00,85.30,6.80,7.90,264300.00,1298.00
11373,34119.00,93.20,27.40,72.60,3.36,3.09,7.80,16.60,45.90,3.10,3.60,6.20,15.00,19.90,22.10,26.40,79.70,11.50,8.80,487600.00,1372.00
11374,20582.00,94.30,34.20,65.80,2.29,2.07,3.80,25.40,72.40,1.70,3.90,6.30,15.70,30.50,21.10,19.40,93.50,3.80,2.70,295100.00,1333.00
11375,34324.00,92.40,50.10,49.90,2.27,2.08,9.90,16.50,71.70,1.90,2.00,4.90,15.90,23.90,28.10,21.30,95.70,2.60,1.70,358700.00,1553.00
11377,33623.00,93.60,27.20,72.80,2.91,2.78,7.60,22.00,39.10,2.20,3.30,6.10,14.10,16.50,15.60,38.30,86.10,9.00,4.80,406600.00,1363.00
11378,13711.00,91.20,51.80,48.20,2.70,2.18,3.60,22.30,4.40,3.70,2.40,4.50,11.00,14.90,14.00,44.90,95.60,3.60,0.80,538000.00,1375.00
11379,14707.00,93.00,59.30,40.70,2.75,2.34,1.90,18.00,7.90,1.90,3.00,5.40,16.00,21.20,16.30,33.80,97.10,1.80,1.10,548200.00,1359.00
11385,37741.00,91.70,29.60,70.40,2.99,2.85,2.10,32.00,4.80,2.90,2.20,2.70,5.80,8.20,14.50,62.10,93.60,5.10,1.30,484900.00,1276.00
11411,6423.00,94.80,81.90,18.10,3.20,2.89,21.10,25.90,0.60,0.20,1.20,2.10,7.00,27.00,33.90,28.40,97.10,2.60,0.30,381100.00,1363.00
11412,11885.00,93.10,74.20,25.80,3.55,2.96,16.00,19.30,1.40,0.80,2.40,4.30,8.60,23.10,21.10,38.00,94.80,4.20,1.00,380400.00,1273.00
11413,13109.00,93.50,74.50,25.50,3.50,3.07,13.90,8.40,0.50,3.40,2.30,5.10,13.90,24.40,19.90,26.10,93.80,4.80,1.40,400600.00,1506.00
11414,11635.00,92.80,74.50,25.50,2.65,2.70,14.20,0.00,16.30,3.00,5.20,10.30,40.90,20.10,8.80,7.30,97.20,2.20,0.60,503400.00,1452.00
11415,9282.00,89.50,36.70,63.30,2.60,2.10,2.60,46.30,67.70,1.90,1.50,6.30,10.60,24.30,26.10,26.10,94.00,5.30,0.60,296800.00,1373.00
11416,7886.00,90.20,43.10,56.90,4.05,3.34,9.00,14.50,3.10,2.40,2.90,4.70,7.80,13.60,13.30,49.50,87.50,9.80,2.70,446900.00,1318.00
11417,10288.00,92.50,55.60,44.40,3.55,3.02,6.20,16.90,2.70,1.80,1.80,3.70,14.40,15.30,12.20,46.20,91.80,5.70,2.50,439400.00,1334.00
11418,12084.00,91.80,41.30,58.70,3.68,2.99,18.80,22.50,20.90,0.90,2.70,2.50,5.70,12.90,11.10,61.70,89.80,7.00,3.20,431300.00,1316.00
11419,13108.00,94.80,55.50,44.50,4.18,3.52,12.10,27.40,2.60,0.40,2.80,2.60,5.40,9.40,14.60,59.50,88.40,9.10,2.40,435200.00,1345.00
11420,14331.00,95.40,68.20,31.80,3.81,3.36,11.10,16.70,1.60,2.50,1.50,2.90,12.10,20.90,17.50,37.60,91.00,7.50,1.50,417900.00,1406.00
11421,13114.00,93.00,54.90,45.10,3.65,3.32,14.20,19.40,12.30,1.80,1.50,2.30,5.80,15.40,10.60,59.40,91.30,6.80,1.80,399400.00,1374.00
11422,10121.00,96.80,67.20,32.80,3.40,3.16,17.20,21.50,0.60,3.50,2.70,5.10,18.10,28.90,16.90,17.70,94.60,5.20,0.20,409800.00,1584.00
11423,10499.00,94.90,59.30,40.70,3.47,2.73,16.90,25.30,24.70,2.40,2.80,2.80,7.60,27.10,16.60,37.60,91.30,6.50,2.20,414100.00,1217.00
11424,0.00,,,,,,,,,,,,,,,,,,,,
11425,0.00,,,,,,,,,,,,,,,,,,,,
11426,6598.00,92.20,76.20,23.80,3.23,2.90,0.00,33.50,6.10,0.90,0.80,3.60,11.70,28.70,25.20,26.60,97.90,2.10,0.00,456800.00,1406.00
11427,8070.00,95.00,59.80,40.20,3.28,2.52,7.90,20.80,16.30,1.70,1.50,2.30,8.50,36.00,23.10,22.80,94.20,4.00,1.70,455400.00,1297.00
11428,6031.00,96.60,64.00,36.00,3.70,3.16,14.10,29.30,4.50,1.00,1.60,3.50,3.90,12.10,21.50,54.80,93.10,6.20,0.70,411300.00,1437.00
11429,8026.00,94.00,67.70,32.30,3.82,3.21,21.30,8.90,1.50,0.80,1.90,2.10,9.00,21.00,21.10,41.60,95.00,3.60,1.40,380800.00,1337.00
11430,0.00,,,,,,,,,,,,,,,,,,,,
11432,19661.00,95.00,35.90,64.10,3.22,3.05,11.70,24.30,47.20,1.70,3.10,6.50,16.20,17.40,16.80,30.40,82.60,8.40,9.10,523100.00,1290.00
11433,11856.00,87.90,40.60,59.40,3.80,3.52,20.80,13.60,13.60,8.90,3.90,5.70,9.10,18.10,13.00,28.40,89.00,9.90,1.00,374100.00,964.00
11434,21933.00,93.80,49.20,50.80,3.49,2.68,27.60,10.60,29.20,5.10,3.40,4.00,28.80,17.70,13.40,19.60,93.00,5.50,1.60,369700.00,1118.00
11435,19760.00,92.70,35.90,64.10,3.24,2.74,14.40,31.30,43.40,2.70,3.70,4.20,12.30,28.00,19.50,23.50,87.70,8.60,3.80,335600.00,1332.00
11436,5971.00,90.40,69.70,30.30,3.49,3.22,19.50,20.50,2.40,4.40,2.10,2.90,19.60,13.60,14.90,36.10,92.60,6.20,1.30,358900.00,1453.00
11451,0.00,,,,,,,,,,,,,,,,,,,,
11691,21374.00,90.70,25.20,74.80,3.87,2.81,7.90,23.80,46.80,4.50,4.50,14.90,20.20,17.10,9.30,17.30,88.40,7.40,4.30,431200.00,1037.00
11692,7065.00,86.90,33.80,66.20,3.11,2.62,1.70,33.70,41.40,4.50,2.50,11.00,25.00,17.30,4.70,14.00,95.30,3.70,1.10,351200.00,837.00
11693,5106.00,88.10,44.60,55.40,2.38,2.52,26.40,11.00,51.10,3.20,1.80,7.30,22.90,17.20,7.30,23.50,96.10,3.10,0.80,326100.00,888.00
11694,9468.00,85.90,53.60,46.40,2.67,2.25,3.80,22.00,29.90,1.50,4.50,3.80,24.60,12.30,9.50,34.80,94.90,4.90,0.20,618200.00,1232.00
11697,2384.00,66.40,96.80,3.20,2.60,1.60,0.00,0.00,0.00,17.50,10.30,4.50,9.20,16.20,7.60,20.60,99.20,0.80,0.00,516100.00,528.00
13290,0.00,,,,,,,,,,,,,,,,,,,,