esriid,FamsWithKids,pctFamsWithKids,pctSingleFathers,pctSingleMothers,HHsWithKids,pctHHsWithKids,AvgFamSize,pctLessThan9th,pctSomeHighSchool,pctHighSchool,pctSomeCollege,pctAssociates,pctBachelors,pctGradProf,pctHighSchoolOrMore,pctBachelorsormore,pctVeteran,pctUSNative,pctBornInUS,pctOthLangEnglishLTD,pctSpanishEnglishLTD
  ,With own children under 18 years,pctFamsWithKids ,pctSingleFathers ,pctSingleMothers ,Households with one or more people under 18 years,pctHHsWithKids ,Average family size ,pctLessThan9th,pctSomeHighSchool ,pctHighSchool ,pctSomeCollege ,pctAssociates ,pctBachelors ,pctGradProf ,pctHighSchoolOrMore ,pctBachelorsormore ,pctVeteran ,pctUSNative ,pctBornInUS ,pctOthLangEnglishLTD ,pctSpanishEnglishLTD
10001,1180.00,10.60,1.20,1.70,1299.00,11.60,3.11,4.90,3.60,10.20,9.90,2.80,37.10,31.50,91.50,68.60,2.80,71.30,96.20,23.80,33.70
10002,6022.00,18.50,1.50,6.60,7004.00,21.50,3.30,23.30,11.40,20.90,9.90,4.10,20.90,9.50,65.30,30.40,2.00,57.60,89.00,59.80,35.00
10003,2369.00,8.60,0.60,1.60,2501.00,9.10,2.56,1.90,1.70,6.80,8.50,2.40,43.60,35.00,96.40,78.60,2.10,80.90,97.00,22.00,14.60
10004,212.00,13.40,0.00,1.30,217.00,13.70,2.87,0.50,0.70,3.80,10.60,2.80,43.20,38.40,98.70,81.50,3.60,73.20,98.40,15.40,30.20
10005,435.00,10.60,0.10,0.90,435.00,10.60,2.55,1.30,0.90,1.70,6.50,1.10,46.10,42.30,97.80,88.40,0.10,71.00,96.70,14.70,28.30
10006,230.00,13.60,1.40,2.80,230.00,13.60,2.65,0.00,0.40,5.40,5.40,5.10,48.20,35.60,99.60,83.70,1.80,74.30,94.30,7.80,0.00
10007,798.00,30.20,0.00,3.90,798.00,30.20,2.90,1.90,4.40,6.80,7.60,0.50,37.30,41.50,93.70,78.80,1.20,73.40,95.90,25.90,49.60
10009,3885.00,13.00,1.80,4.90,4543.00,15.20,2.96,9.00,5.90,12.80,9.70,3.50,36.40,22.80,85.10,59.20,1.90,75.70,90.90,39.90,39.20
10010,1431.00,8.90,0.30,1.60,1446.00,9.00,2.66,1.90,1.80,7.40,8.60,4.90,40.10,35.40,96.30,75.50,2.30,76.80,96.20,22.50,21.80
10011,3283.00,11.00,1.00,2.60,3370.00,11.30,2.71,2.00,2.50,6.90,7.90,3.50,39.60,37.60,95.60,77.30,2.50,80.70,96.90,25.50,29.00
10012,1190.00,9.20,0.70,0.30,1277.00,9.90,3.08,4.90,1.20,7.50,6.80,2.20,41.70,35.70,93.90,77.40,1.60,74.00,97.60,33.40,25.90
10013,2422.00,21.10,1.10,2.70,2592.00,22.50,2.92,12.90,5.40,9.30,7.70,1.70,35.10,27.90,81.70,62.90,1.80,68.00,97.70,50.80,24.90
10014,1773.00,9.30,0.60,1.20,1800.00,9.50,2.64,0.40,0.90,6.60,7.20,2.90,48.00,33.90,98.70,81.90,3.10,83.20,97.20,12.50,17.40
10016,2658.00,9.50,0.20,1.60,2723.00,9.70,2.75,1.70,2.30,7.60,8.30,3.10,42.30,34.80,96.10,77.10,2.30,75.20,97.40,28.00,16.70
10017,677.00,6.70,0.90,0.60,739.00,7.30,2.43,0.80,1.40,5.50,8.90,2.50,44.10,36.90,97.80,80.90,2.70,68.10,97.80,27.00,32.60
10018,366.00,9.00,0.00,3.40,378.00,9.30,2.81,5.20,1.90,8.00,9.20,3.00,41.70,31.00,92.90,72.70,1.20,60.40,97.20,31.90,41.30
10019,1632.00,6.90,0.40,1.40,1698.00,7.20,2.61,3.50,3.40,9.70,9.40,3.40,37.00,33.60,93.10,70.60,2.50,68.60,96.90,32.60,37.40
10020,0.00,,,,0.00,,,,,,,,,,,,,,,,
10021,3410.00,14.50,0.60,2.40,3423.00,14.60,2.70,0.80,2.30,6.00,7.90,2.70,40.50,39.90,97.00,80.30,3.70,77.80,97.80,23.40,39.00
10022,1570.00,8.90,0.30,0.60,1621.00,9.20,2.51,0.40,1.30,5.30,9.90,2.10,43.00,38.00,98.20,80.90,5.70,80.00,98.10,13.00,6.40
10023,5185.00,16.10,1.20,1.70,5364.00,16.60,2.79,1.10,1.60,6.20,7.70,2.30,33.10,47.90,97.20,81.10,4.10,78.60,96.10,24.50,21.50
10024,6019.00,20.80,0.90,2.70,6269.00,21.70,2.93,2.60,2.10,6.90,8.40,2.30,33.70,43.90,95.20,77.60,3.10,79.60,97.10,26.20,34.40
10025,7635.00,17.50,0.50,3.60,8217.00,18.80,3.01,5.00,4.60,9.60,10.00,3.50,29.90,37.40,90.40,67.40,3.70,74.50,95.10,31.70,38.90
10026,3554.00,24.50,2.60,10.30,4156.00,28.70,3.54,7.60,10.40,23.50,12.60,5.10,22.00,18.80,82.00,40.70,2.00,76.30,95.90,37.70,37.50
10027,5070.00,22.10,1.70,11.10,6081.00,26.50,3.30,8.30,10.20,20.80,12.40,4.30,20.00,23.90,81.40,43.90,2.50,72.20,95.60,36.10,39.10
10028,3846.00,15.50,0.60,1.30,3942.00,15.90,2.66,0.80,1.20,6.30,7.60,3.30,40.40,40.30,97.90,80.70,4.30,81.60,97.40,20.10,19.20
10029,7392.00,25.30,1.80,13.90,8714.00,29.80,3.46,11.10,14.50,26.50,12.30,5.00,18.50,12.10,74.40,30.60,2.10,73.20,88.20,37.30,37.00
10030,2770.00,23.10,1.60,14.80,3358.00,28.00,3.52,9.10,14.60,26.80,16.40,5.50,17.60,9.90,76.20,27.50,3.70,79.00,96.50,36.10,35.20
10031,4481.00,21.40,1.70,10.70,5979.00,28.50,3.70,14.60,13.40,20.90,15.50,5.30,18.00,12.30,71.90,30.30,1.90,61.40,95.00,45.30,49.10
10032,4309.00,21.70,3.50,10.70,5416.00,27.30,3.80,20.70,13.20,18.90,14.40,4.90,18.70,9.30,66.20,28.00,2.20,54.40,91.90,57.30,60.00
10033,4673.00,23.80,1.40,10.00,5968.00,30.50,3.73,18.50,10.80,18.80,14.30,5.10,18.60,13.90,70.70,32.60,1.70,51.70,92.80,53.60,56.00
10034,3734.00,24.50,3.30,9.00,4934.00,32.30,3.57,19.20,10.00,20.20,15.00,5.20,18.10,12.30,70.80,30.40,1.80,49.60,92.30,55.20,56.90
10035,3072.00,23.40,0.70,14.20,3476.00,26.50,3.52,16.30,17.40,22.30,15.40,5.10,14.50,9.00,66.40,23.50,3.10,74.70,90.30,45.70,49.50
10036,963.00,6.60,0.90,1.30,1104.00,7.60,2.66,2.80,3.00,10.00,12.30,3.70,38.50,29.70,94.20,68.10,2.30,68.20,96.10,34.30,35.90
10037,1640.00,18.10,2.60,10.50,1795.00,19.90,3.17,5.00,8.60,23.70,22.20,6.10,19.40,14.90,86.40,34.40,3.00,83.40,98.10,26.30,29.80
10038,1340.00,14.00,1.40,3.50,1449.00,15.10,2.87,12.60,5.70,11.20,9.60,2.10,34.70,24.10,81.70,58.80,2.50,64.80,94.20,44.30,35.00
10039,2851.00,27.50,1.70,17.10,3518.00,33.90,3.42,10.30,12.40,24.70,17.20,9.20,16.60,9.60,77.30,26.20,3.30,74.70,97.80,41.20,46.30
10040,3627.00,22.80,0.60,10.20,4545.00,28.60,3.64,15.10,12.60,18.40,15.30,4.70,20.30,13.60,72.30,33.90,1.70,51.20,93.60,49.90,51.00
10044,1018.00,21.60,0.30,4.80,1081.00,22.90,2.98,4.00,8.00,15.10,9.90,2.70,21.10,39.20,88.00,60.30,4.60,51.30,94.70,33.60,26.90
10065,2797.00,16.10,0.20,1.00,2836.00,16.30,2.72,0.30,0.90,7.30,8.50,2.80,39.30,40.90,98.70,80.20,3.90,77.00,97.20,15.50,21.00
10069,563.00,20.00,1.00,4.00,563.00,20.00,2.68,0.00,0.00,3.70,4.60,3.00,42.80,45.90,100.00,88.70,2.40,73.40,99.00,16.50,4.50
10075,1878.00,13.80,0.90,1.50,1914.00,14.10,2.55,0.50,1.80,6.00,8.00,3.60,42.40,37.70,97.80,80.20,5.10,78.70,97.40,22.70,23.00
10103,0.00,,,,0.00,,,,,,,,,,,,,,,,
10110,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,0.00,100.00,100.00,,
10111,0.00,,,,0.00,,,,,,,,,,,,,,,,
10112,0.00,,,,0.00,,,,,,,,,,,,,,,,
10115,0.00,,,,0.00,,,,,,,,,,,,,,,,
10119,0.00,,,,0.00,,,,,,,,,,,,,,,,
10128,5915.00,18.50,0.40,3.60,5998.00,18.80,2.80,2.50,2.10,6.20,7.50,2.40,40.10,39.10,95.40,79.20,3.50,78.60,96.40,24.40,28.20
10152,0.00,,,,0.00,,,,,,,,,,,,,,,,
10153,0.00,,,,0.00,,,,,,,,,,,,,,,,
10154,0.00,,,,0.00,,,,,,,,,,,,,,,,
10162,205.00,31.10,7.40,3.00,205.00,31.10,3.50,0.00,0.00,1.90,0.00,0.00,56.10,42.00,100.00,98.10,0.00,78.50,100.00,20.80,0.00
10165,0.00,,,,0.00,,,,,,,,,,,,,,,,
10167,0.00,,,,0.00,,,,,,,,,,,,,,,,
10168,0.00,,,,0.00,,,,,,,,,,,,,,,,
10169,0.00,,,,0.00,,,,,,,,,,,,,,,,
10170,0.00,,,,0.00,,,,,,,,,,,,,,,,
10171,0.00,,,,0.00,,,,,,,,,,,,,,,,
10172,0.00,,,,0.00,,,,,,,,,,,,,,,,
10173,0.00,,,,0.00,,,,,,,,,,,,,,,,
10174,0.00,,,,0.00,,,,,,,,,,,,,,,,
10177,0.00,,,,0.00,,,,,,,,,,,,,,,,
10199,0.00,,,,0.00,,,,,,,,,,,,,,,,
10271,0.00,,,,0.00,,,,,,,,,,,,,,,,
10278,0.00,,,,0.00,,,,,,,,,,,,,,,,
10279,0.00,,,,0.00,,,,,,,,,,,,,,,,
10280,1115.00,25.80,0.40,4.60,1115.00,25.80,2.76,0.50,1.40,3.80,8.30,3.00,41.90,41.10,98.10,82.90,2.40,71.90,97.40,22.50,4.50
10282,974.00,38.40,0.00,4.10,974.00,38.40,3.06,0.80,0.80,4.90,2.10,4.30,42.60,44.50,98.40,87.10,4.40,69.80,98.70,28.00,46.50
10301,4284.00,30.40,1.10,11.00,4768.00,33.80,3.36,6.50,8.50,27.10,17.90,8.00,18.20,13.80,85.00,32.00,5.40,79.60,96.80,37.50,37.20
10302,2017.00,33.60,1.70,9.40,2268.00,37.80,3.61,6.70,9.80,34.30,20.70,6.80,15.20,6.40,83.50,21.70,7.00,71.70,96.00,39.40,42.80
10303,3504.00,43.50,2.30,17.50,3874.00,48.10,3.44,7.80,10.00,33.60,16.50,9.40,15.10,7.50,82.20,22.70,5.30,74.10,93.00,28.80,30.10
10304,5148.00,35.60,1.80,13.70,5880.00,40.60,3.34,9.40,9.10,29.50,16.40,6.50,17.30,11.90,81.50,29.20,4.50,70.10,95.50,45.20,48.80
10305,4519.00,30.40,1.50,5.40,5134.00,34.50,3.34,6.50,7.10,30.10,16.50,7.50,19.80,12.50,86.40,32.40,4.50,66.00,94.90,43.40,38.50
10306,6296.00,31.10,0.70,5.10,6841.00,33.80,3.25,3.80,5.60,32.80,19.50,7.80,18.20,12.30,90.70,30.50,5.90,80.40,97.70,36.30,25.10
10307,1954.00,39.50,1.20,3.40,2038.00,41.10,3.42,3.60,3.10,29.70,19.00,9.40,20.10,15.20,93.30,35.30,5.10,89.10,99.60,27.70,13.80
10308,3000.00,28.00,1.00,3.40,3316.00,31.00,3.22,3.20,6.20,37.20,17.40,6.80,17.50,11.90,90.60,29.30,5.40,84.80,98.20,32.50,34.20
10309,4291.00,38.70,1.30,5.20,4476.00,40.30,3.40,3.20,6.50,30.70,19.20,8.10,19.50,12.80,90.30,32.30,3.40,85.20,99.20,34.40,32.10
10310,3393.00,40.50,2.60,11.20,3632.00,43.30,3.46,4.60,8.60,30.90,19.10,8.80,16.10,11.80,86.80,27.80,5.40,80.80,97.10,35.70,44.90
10311,0.00,,,,0.00,,,,,,,,,,,,,,,,
10312,6781.00,32.00,0.90,4.80,7326.00,34.50,3.26,3.10,5.10,32.90,18.60,7.30,21.50,11.60,91.80,33.00,5.70,85.40,98.80,29.80,18.30
10314,9820.00,31.70,2.00,4.60,10383.00,33.50,3.27,3.90,6.40,32.70,17.60,7.90,18.90,12.60,89.70,31.50,5.40,77.20,97.80,33.10,25.60
10451,5419.00,30.30,2.60,18.80,6537.00,36.60,3.63,19.00,17.90,25.10,16.70,6.00,10.00,5.40,63.20,15.40,3.00,69.00,89.50,47.00,47.70
10452,10123.00,40.50,3.50,23.50,11704.00,46.80,3.63,18.80,17.50,27.60,16.70,8.00,8.20,3.20,63.70,11.40,1.90,57.20,89.20,49.90,52.40
10453,9554.00,36.70,3.40,22.70,11154.00,42.80,3.59,16.90,16.40,30.40,15.90,8.60,7.70,4.10,66.70,11.80,2.20,59.30,90.00,51.40,52.80
10454,5316.00,42.60,4.10,26.40,5917.00,47.40,3.67,23.10,19.80,27.80,14.90,5.30,6.80,2.20,57.10,9.10,1.50,72.60,84.60,58.00,58.30
10455,5044.00,36.80,3.20,23.30,5691.00,41.60,3.56,24.40,19.00,27.70,14.00,5.60,7.10,2.20,56.60,9.30,1.80,69.30,85.40,49.40,49.90
10456,11452.00,39.30,3.30,24.20,13332.00,45.70,3.80,20.80,19.90,25.80,17.50,5.10,8.40,2.50,59.30,10.90,2.00,67.20,88.20,47.30,48.70
10457,8990.00,39.40,4.20,23.20,10392.00,45.50,3.70,20.60,16.90,27.00,17.60,5.60,8.00,4.30,62.50,12.30,1.80,62.30,88.20,45.70,47.10
10458,9154.00,35.40,3.10,19.60,10307.00,39.90,3.55,17.40,17.90,28.30,18.00,6.40,8.30,3.80,64.80,12.10,2.10,62.30,88.70,47.50,46.40
10459,6413.00,41.60,3.80,26.20,7485.00,48.50,3.71,22.90,18.10,26.00,16.20,6.10,7.80,3.00,59.10,10.80,2.60,68.50,83.70,47.20,47.70
10460,7509.00,38.40,3.50,25.40,8937.00,45.80,3.55,19.00,21.60,26.90,15.80,6.30,8.20,2.20,59.40,10.40,2.20,67.00,85.30,39.40,39.20
10461,5641.00,28.90,3.10,9.10,6013.00,30.80,3.35,9.70,10.20,29.60,17.90,6.60,16.20,9.90,80.20,26.10,4.40,72.10,91.50,33.30,28.20
10462,9158.00,31.70,3.20,13.20,10076.00,34.80,3.46,12.20,10.80,26.70,16.90,9.30,15.30,8.80,77.00,24.10,3.30,68.80,85.50,38.50,34.90
10463,7495.00,27.00,2.10,11.80,8367.00,30.20,3.22,9.80,9.20,20.10,17.50,6.10,18.80,18.60,81.00,37.40,4.00,69.50,92.10,38.90,39.90
10464,438.00,20.50,0.90,5.50,441.00,20.60,2.97,0.90,3.60,25.80,20.90,6.80,19.00,23.00,95.40,42.00,5.10,92.70,97.80,11.30,12.90
10465,4485.00,28.10,1.80,10.70,4981.00,31.20,3.46,8.80,9.80,32.30,17.90,8.50,14.40,8.50,81.50,22.80,7.10,85.00,93.00,27.20,23.50
10466,7805.00,34.50,3.50,18.20,9539.00,42.20,3.68,10.30,10.60,33.10,17.10,7.60,15.30,6.00,79.10,21.30,3.50,58.90,92.00,30.70,31.40
10467,12300.00,35.30,3.20,18.50,13819.00,39.60,3.54,12.90,13.70,29.30,18.40,7.20,12.60,6.00,73.50,18.60,2.70,60.50,89.40,47.30,46.20
10468,8733.00,36.10,3.80,19.30,10054.00,41.60,3.58,17.00,15.50,28.30,18.20,4.60,11.50,4.90,67.50,16.40,2.20,56.50,86.30,44.50,45.20
10469,7510.00,34.40,3.00,13.70,8842.00,40.50,3.75,8.90,10.90,28.50,18.40,9.00,15.30,9.00,80.20,24.30,3.30,63.10,90.30,31.50,30.00
10470,1494.00,25.70,2.70,8.90,1655.00,28.50,3.39,9.50,6.60,31.20,16.30,6.70,17.90,11.80,83.90,29.70,6.30,61.40,95.50,32.40,32.90
10471,1945.00,22.00,1.70,5.60,2005.00,22.70,3.09,4.20,4.50,18.00,13.50,5.50,26.30,28.00,91.30,54.20,5.30,77.30,95.10,29.80,27.00
10472,8178.00,38.60,5.10,19.60,9527.00,44.90,3.82,20.50,19.80,27.60,15.20,5.30,8.80,2.90,59.70,11.60,2.40,59.00,83.50,53.70,53.60
10473,6543.00,32.00,3.10,20.10,7725.00,37.80,3.50,11.30,14.10,30.20,18.40,8.90,12.20,4.90,74.60,17.00,4.30,78.40,85.40,38.30,38.20
10474,1561.00,43.50,2.20,26.80,1682.00,46.90,3.59,14.60,21.10,28.00,16.30,9.20,8.50,2.30,64.20,10.70,2.30,73.40,82.20,48.60,49.30
10475,3863.00,21.20,1.50,10.40,4402.00,24.10,3.34,7.90,7.80,27.30,24.00,7.80,15.70,9.40,84.30,25.20,6.40,75.10,89.60,32.20,32.20
11004,1130.00,22.30,0.80,3.10,1307.00,25.80,3.49,4.90,5.30,28.80,12.60,7.70,22.80,17.90,89.70,40.80,5.10,64.40,98.70,37.50,40.70
11005,0.00,0.00,0.00,0.00,0.00,0.00,2.01,0.80,2.10,17.70,27.20,3.30,24.10,24.90,97.20,49.00,18.10,88.20,98.50,26.00,33.30
